step,time,abs_l2_pe1,rel_l2_pe1,abs_l2_pe2,rel_l2_pe2,abs_l2_pe3,rel_l2_pe3
24,0.024,0.0003352965974681329,0.007164165505614703,0.0006920145300589345,0.008828156734471789,0.001814452544509954,0.01551466558324171
25,0.025,0.000333236427565371,0.006909444257565112,0.0006897259566824276,0.008548878808969677,0.001811480263436449,0.01509559755002937
26,0.026,0.0003312601859851846,0.006673146144418791,0.0006875446878178403,0.008289280666240255,0.001811471036905403,0.01472774560772237
27,0.027,0.0003293616255054483,0.006453311233016845,0.0006854632998578069,0.008047306257390044,0.001813730583064095,0.01440116915128714
28,0.028,0.000327534973740317,0.006248246622327949,0.0006834750475767342,0.007821178984301283,0.001817679579802399,0.01410788736191139
29,0.029,0.0003257748462806044,0.006056481595412558,0.0006815737910446416,0.007609355548867048,0.001822842208384369,0.01384153055637545
30,0.03,0.0003240761712562164,0.005876731479546362,0.000679753930880298,0.007410488682762812,0.001828833077343098,0.01359703762523851
31,0.031,0.0003224341246646611,0.005707868322454878,0.0006780103510036867,0.007223396822031235,0.001835344269905486,0.01337040188968589
32,0.032,0.0003208440759902129,0.005548896952370419,0.0006763383680699835,0.007047039259225523,0.00184213339910188,0.01315846207749847
33,0.033,0.00031930154367519,0.005398935325310339,0.0006747336868178665,0.006880495650311736,0.001849013022178983,0.01295873262400781
34,0.034,0.0003178021599903492,0.005257198311522615,0.0006731923606288917,0.006722949009458345,0.001855841465336639,0.01276926687913254
35,0.035,0.0003163416447361667,0.005122984257886423,0.0006717107566638037,0.00657367151687312,0.001862514960290844,0.01258854716596733
36,0.036,0.0003149157871422114,0.004995663803738814,0.0006702855250112623,0.006432012610256749,0.001868960935406534,0.01241539643388505
37,0.037,0.0003135204351649232,0.004874670533445769,0.0006689135713508261,0.006297388941492344,0.001875132295072235,0.01224890715967986
38,0.038,0.0003121514913407095,0.004759493132321086,0.0006675920326918542,0.006169275865666202,0.001881002535710874,0.01208838400957333
39,0.039,0.0003108049142237642,0.004649668775884458,0.000666318255811618,0.006047200195880263,0.001886561570269552,0.01193329751339781
40,0.04,0.0003094767244412075,0.004544777533856523,0.0006650897780490582,0.00593073400896404,0.001891812157102382,0.01178324660227666
41,0.041,0.0003081630143710464,0.004444437610361706,0.000663904310175193,0.005819489328125399,0.001896766850211645,0.01163792833197173
42,0.042,0.0003068599604815159,0.004348301274423172,0.0006627597210827737,0.005713113540660095,0.001901445404567897,0.01149711347508619
43,0.043,0.0003055638374256575,0.004256051361200754,0.0006616540240778622,0.005611285434572748,0.001905872582759457,0.01136062693856499
44,0.044,0.0003042710330651388,0.004167398245965858,0.000660585364582897,0.005513711758494878,0.00191007631819479,0.01122833216893102
45,0.045,0.0003029780636922896,0.004082077210453878,0.0006595520090849287,0.005420124225825116,0.001914086196260291,0.01110011886315375
46,0.046,0.000301681588826255,0.003999846135772404,0.0006585523351861878,0.005330276897424007,0.001917932219061293,0.01097589342178821
47,0.047,0.0003003784250687539,0.003920483467997078,0.0006575848226299857,0.005243943888058706,0.001921643822280233,0.01085557167308118
48,0.048,0.0002990655586157052,0.003843786412460364,0.0006566480451923806,0.005160917350705532,0.00192524911479035,0.01073907346964022
49,0.049,0.0002977401561246663,0.003769569320833146,0.000655740663343765,0.005081005700115691,0.001928774313362257,0.01062631881850176
50,0.05,0.0002963995737358178,0.00369766224176924,0.0006548614175962662,0.005004032043069651,0.001932243346324339,0.01051722525464995
