timeHist0,timeHist1,timeHist2,timeHist3,timeHist4
5.040000000000003411e+01,8.400000000000005684e+00,-8.366676075199848128e+00,-5.992745986092185922e+04,5.785843488045797858e+04
5.160000000000003695e+01,8.600000000000004974e+00,-8.566810587960626222e+00,-6.184133904665235605e+04,5.981735384990245802e+04
5.280000000000003979e+01,8.800000000000007816e+00,-8.766858613486016694e+00,-6.373968982504095766e+04,6.176243599441437982e+04
5.400000000000004263e+01,9.000000000000007105e+00,-8.966858002710244691e+00,-6.562772164479621279e+04,6.369929615473665035e+04
5.520000000000004547e+01,9.200000000000008171e+00,-9.166827775075253371e+00,-6.750809432864589326e+04,6.563081509840322542e+04
5.640000000000004832e+01,9.400000000000007461e+00,-9.366777683454012404e+00,-6.938224607828330772e+04,6.755855779215478105e+04
5.760000000000005116e+01,9.600000000000006750e+00,-9.566712907704919999e+00,-7.125102015780567308e+04,6.948344625365606043e+04
5.880000000000005400e+01,9.800000000000009592e+00,-9.767388613200161274e+00,-7.317077688477381889e+04,7.148393852278735721e+04
9.880000000000005400e+01,1.000000000000000000e+01,-9.969878739632555664e+00,-6.826188369817099010e+04,6.672013609750368050e+04
1.388000000000000682e+02,1.000000000000000000e+01,-9.971113821561440105e+00,-6.512724838682371774e+04,6.363326753890729742e+04
1.788000000000000682e+02,1.000000000000000000e+01,-9.972041532417073029e+00,-6.307300599052791949e+04,6.161891731308962335e+04
2.188000000000000682e+02,1.000000000000000000e+01,-9.972766609260043325e+00,-6.157649948939048045e+04,6.015640244848115253e+04
2.588000000000000682e+02,1.000000000000000000e+01,-9.973335526408789065e+00,-6.046141623167309444e+04,5.906969367998073722e+04
2.988000000000000682e+02,1.000000000000000000e+01,-9.973778910426871036e+00,-5.962517547318075231e+04,5.825650865968038852e+04
3.388000000000000682e+02,1.000000000000000000e+01,-9.974122104126099231e+00,-5.899519536426017294e+04,5.764484858720227203e+04
3.788000000000000682e+02,1.000000000000000000e+01,-9.974386868699236075e+00,-5.851747218474898546e+04,5.718146025077870581e+04
4.188000000000000682e+02,1.000000000000000000e+01,-9.974591405484646955e+00,-5.815165723665795667e+04,5.682676756679622486e+04
4.588000000000000682e+02,1.000000000000000000e+01,-9.974750408400447910e+00,-5.786781107088977296e+04,5.655153326842917886e+04
