timeHist0,timeHist1,timeHist2,timeHist3,timeHist4
7.700000000000000000e+01,5.389999999999999858e+01,9.553378178166968282e+05,3.032735795937120997e+02,1.520467360281502479e+05
7.800000000000000000e+01,5.460000000000000142e+01,9.833473113823301392e+05,3.033685262036680115e+02,1.565045853826215607e+05
7.900000000000000000e+01,5.529999999999999005e+01,1.012698195302351960e+06,3.034653554050770481e+02,1.611759236426088901e+05
8.000000000000000000e+01,5.599999999999999289e+01,1.043496511142898235e+06,3.035641120343072998e+02,1.660776278475381841e+05
8.100000000000000000e+01,5.669999999999998863e+01,1.075859050725219306e+06,3.036648398358782970e+02,1.712282859930707491e+05
8.200000000000000000e+01,5.739999999999999147e+01,1.109914662180534564e+06,3.037675808407407771e+02,1.766484048962018278e+05
8.300000000000000000e+01,5.809999999999999432e+01,1.145805732871772256e+06,3.038723745895915158e+02,1.823606462095728202e+05
8.400000000000000000e+01,5.879999999999998295e+01,1.183689873567834031e+06,3.039792571665566925e+02,1.883900944661397953e+05
8.500000000000000000e+01,5.949999999999998579e+01,1.223741830965002067e+06,3.040882600009742305e+02,1.947645614664056629e+05
8.600000000000000000e+01,6.020000000000000284e+01,1.266155658250978682e+06,3.041994083858512568e+02,2.015149317344139854e+05
8.700000000000000000e+01,6.089999999999999858e+01,1.311147175633363193e+06,3.043127196506251266e+02,2.086755541230257077e+05
8.800000000000000000e+01,6.160000000000000142e+01,1.358956754196142545e+06,3.044282009128969548e+02,2.162846848784320173e+05
8.900000000000000000e+01,6.229999999999999716e+01,1.409852456473550759e+06,3.045458463186791391e+02,2.243849874780126556e+05
9.000000000000000000e+01,6.299999999999999289e+01,1.464133564813633217e+06,3.046656336633818682e+02,2.330240941868457594e+05
9.100000000000000000e+01,6.369999999999999574e+01,1.522134522591288434e+06,3.047875202665071015e+02,2.422552333212234662e+05
9.200000000000000000e+01,6.439999999999999147e+01,1.584229301697574323e+06,3.049114379525065033e+02,2.521379243561893527e+05
9.300000000000000000e+01,6.509999999999998010e+01,1.650836189801178407e+06,3.050372869699480134e+02,2.627387398418463999e+05
9.400000000000000000e+01,6.579999999999996874e+01,1.722422959001770709e+06,3.051649286636270517e+02,2.741321280200990732e+05
9.500000000000000000e+01,6.649999999999997158e+01,1.799512328881958965e+06,3.052941767039532692e+02,2.864012822963677463e+05
9.600000000000000000e+01,6.719999999999998863e+01,1.882687565560681513e+06,3.054247866817987074e+02,2.996390323566302541e+05
9.700000000000000000e+01,6.789999999999999147e+01,1.972597956987436162e+06,3.055564439055452226e+02,3.139487155875244644e+05
9.800000000000000000e+01,6.859999999999998010e+01,2.069963765720890136e+06,3.056887493054330776e+02,3.294449653355858172e+05
9.900000000000000000e+01,6.929999999999998295e+01,2.175580077164505143e+06,3.058212034790112170e+02,3.462543233729730127e+05
1.000000000000000000e+02,6.999999999999997158e+01,2.290318731028252281e+06,3.059531891262677163e+02,3.645155472990921699e+05
