timeHist0,timeHist1,timeHist2,timeHist3,timeHist4
8.700000000000000000e+01,3.473546593709760941e+02,3.048295463349439842e+02,2.983408209951691106e+02,7.187876112383874416e-02
8.800000000000000000e+01,3.473861330048466129e+02,3.049669820444965467e+02,2.983638721669050256e+02,7.669132529943416265e-02
8.900000000000000000e+01,3.474160716514803084e+02,3.051039467662046150e+02,2.983877927422800553e+02,8.168447713891886786e-02
9.000000000000000000e+01,3.474445501730879755e+02,3.052404161372578528e+02,2.984125854629107835e+02,8.685883645537567643e-02
9.100000000000000000e+01,3.474716397808074362e+02,3.053763673915383947e+02,2.984382523392781650e+02,9.221487585887136462e-02
9.200000000000000000e+01,3.474974082127683914e+02,3.055117792945212045e+02,2.984647946737724737e+02,9.775292543034934389e-02
9.300000000000000000e+01,3.475219199034729058e+02,3.056466320799204937e+02,2.984922130841000580e+02,1.034731774595122333e-01
9.400000000000000000e+01,3.475452361449152363e+02,3.057809073880974893e+02,2.985205075269491317e+02,1.093756912287195959e-01
9.500000000000000000e+01,3.475674152398440242e+02,3.059145882062370561e+02,2.985496773218198427e+02,1.154603978229271494e-01
9.600000000000000000e+01,3.475885126475490665e+02,3.060476588102947630e+02,2.985797211749320468e+02,1.217271049478821504e-01
9.700000000000000000e+01,3.476085811225387374e+02,3.061801047087089955e+02,2.986106372031318301e+02,1.281755017426596810e-01
9.800000000000000000e+01,3.476276708464538387e+02,3.063119125878680507e+02,2.986424229577258984e+02,1.348051635711595142e-01
9.900000000000000000e+01,3.476458295535474576e+02,3.064430702593175511e+02,2.986750754481775516e+02,1.416155567800967130e-01
1.000000000000000000e+02,3.476631026500458006e+02,3.065735666086892479e+02,2.987085911656070039e+02,1.486060434124929497e-01
1.010000000000000000e+02,3.476795333276872384e+02,3.067033915463288167e+02,2.987429661060425019e+02,1.557758858663379209e-01
1.020000000000000000e+02,3.476951626717242902e+02,3.068325359595980331e+02,2.987781957933759713e+02,1.631242514888736062e-01
1.030000000000000000e+02,3.477100297636579285e+02,3.069609916668226219e+02,2.988142753019810129e+02,1.706502170986321509e-01
1.040000000000000000e+02,3.477241717789619884e+02,3.070887513728565636e+02,2.988511992789568126e+02,1.783527734292238431e-01
1.050000000000000000e+02,3.477376240800409732e+02,3.072158086262306256e+02,2.988889619659647678e+02,1.862308294870621550e-01
1.060000000000000000e+02,3.477504203046545399e+02,3.073421577778517531e+02,2.989275572206309448e+02,1.942832168187244579e-01
1.070000000000000000e+02,3.477625924500295014e+02,3.074677939412189858e+02,2.989669785374888988e+02,2.025086936837396934e-01
1.080000000000000000e+02,3.477741709528694400e+02,3.075927129541203158e+02,2.990072190684433622e+02,2.109059491279314247e-01
1.090000000000000000e+02,3.477851847654624180e+02,3.077169113417741642e+02,2.990482716427363812e+02,2.194736069551896929e-01
1.100000000000000000e+02,3.477956614280768690e+02,3.078403862813782439e+02,2.990901287864028859e+02,2.282102295944979653e-01
1.110000000000000000e+02,3.478056271378262636e+02,3.079631355680289744e+02,2.991327827412032434e+02,2.371143218604778724e-01
1.120000000000000000e+02,3.478151068141759197e+02,3.080851575819743289e+02,2.991762254830249503e+02,2.461843346066415195e-01
1.130000000000000000e+02,3.478241241612544741e+02,3.082064512571616888e+02,2.992204487397459047e+02,2.554186682684577159e-01
1.140000000000000000e+02,3.478327017271265049e+02,3.083270160510436426e+02,2.992654440085565284e+02,2.648156762980474754e-01
1.150000000000000000e+02,3.478408609601745525e+02,3.084468519156048387e+02,2.993112025727368746e+02,2.743736684885497712e-01
1.160000000000000000e+02,3.478486222627312827e+02,3.085659592695719766e+02,2.993577155178893463e+02,2.840909141889836342e-01
1.170000000000000000e+02,3.478560050420956600e+02,3.086843389717711261e+02,2.994049737476275936e+02,2.939656454102254624e-01
1.180000000000000000e+02,3.478630277590616515e+02,3.088019922955954826e+02,2.994529679987245459e+02,3.039960598218184873e-01
1.190000000000000000e+02,3.478697079740796312e+02,3.089189209045474058e+02,2.995016888557228754e+02,3.141803236426951029e-01
1.200000000000000000e+02,3.478760623911667267e+02,3.090351268288209781e+02,2.995511267650139757e+02,3.245165744241403361e-01
1.210000000000000000e+02,3.478821068996755344e+02,3.091506124428885869e+02,2.996012720483903990e+02,3.350029237291546336e-01
1.220000000000000000e+02,3.478878566140257931e+02,3.092653804440587919e+02,2.996521149160798245e+02,3.456374597075883570e-01
1.230000000000000000e+02,3.478933259114981524e+02,3.093794338319712551e+02,2.997036454792677773e+02,3.564182495704434350e-01
1.240000000000000000e+02,3.478985284681852477e+02,3.094927758889967890e+02,2.997558537621180790e+02,3.673433419644780984e-01
1.250000000000000000e+02,3.479034772931887005e+02,3.096054101615101217e+02,2.998087297133000675e+02,3.784107692484203755e-01
1.260000000000000000e+02,3.479081847611486182e+02,3.097173404420040583e+02,2.998622632170322504e+02,3.896185496740591225e-01
1.270000000000000000e+02,3.479126626431869909e+02,3.098285707520151959e+02,2.999164441036529638e+02,4.009646894736630385e-01
1.280000000000000000e+02,3.479169221363413840e+02,3.099391053258308375e+02,2.999712621597284397e+02,4.124471848561573895e-01
1.290000000000000000e+02,3.479209738915632784e+02,3.100489485949481718e+02,3.000267071377089678e+02,4.240640239142975942e-01
1.300000000000000000e+02,3.479248280403512013e+02,3.101581051732583205e+02,3.000827687651448628e+02,4.358131884445013982e-01
1.310000000000000000e+02,3.479284942200846444e+02,3.102665798429271717e+02,3.001394367534728644e+02,4.476926556830462256e-01
